A1 Nouns,A1 Verbs,A1 Adjectives,A1 Adverbs & Others,A2 Nouns,A2 Verbs,A2 Adjectives,A2 Adverbs & Others,B1 Nouns (Complete),B1 Verbs,B1 Adjectives,B1 Adverbs & Others,B2 Nouns,B2 Verbs,B2 Adjectives (A-Z)
parent,,,,fuel,program,intelligent,,commission,produce,intellectual,,Bulletin,clot,desperate
park,,,,fun,progress,intense,,commitment,program,intelligent,,Bully,clothe,destructive
part,,,,furniture,promise,intensive,,committee,progress,intense,,Bump,cloud,detached
party,,,,future,promote,interested,,communication,promise,intensive,,Bunch,club,detailed
passenger,,,,gallery,pronounce,interesting,,community,promote,interested,,Bundle,clue,determined
passport,,,,game,protect,interior,,companion,pronounce,interesting,,Burden,cluster,developmental
past,,,,gap,protest,internal,,company,propose,interior,,Bureau,clutch,deviant
pen,,,,gas,prove,international,,comparison,protect,internal,,Bureaucracy,coach,devious
pencil,,,,gate,provide,invisible,,competition,protest,international,,Burial,coat,devoted
people,,,,general,publish,involved,,competitor,prove,invisible,,Burn,code,devout
pepper,,,,generation,pull,iron,,complaint,provide,involved,,Burrow,codify,diagnostic
person,,,,ghost,punish,island,,complete,publish,iron,,Burst,coil,diagonal
pet,,,,giant,purchase,jealous,,complex,pull,island,,Bus,coin,dietary
phone,,,,gift,push,joint,,component,punish,jealous,,Bush,coincide,different
photo,,,,giraffe,put,jolly,,compound,purchase,joint,,Business,collaborate,difficult
photograph,,,,girl,qualify,juicy,,computer,push,jolly,,Bust,collapse,digital
phrase,,,,glove,question,junior,,concentration,qualify,juicy,,Butcher,collar,dignified
piano,,,,goal,quit,just,,concept,question,junior,,Butler,collect,diligent
picture,,,,gold,raise,keen,,concern,quit,just,,Butter,collide,dim
piece,,,,government,rang,kind,,concert,raise,keen,,Butterfly,colonize,diplomatic
pig,,,,grade,reach,known,,conclusion,rate,kind,,Button,color,direct
pink,,,,graduate,read,large,,condition,reach,known,,Buyer,comb,dirty
place,,,,grain,realize,last,,conduct,realize,large,,Buying,combat,disabled
plan,,,,grammar,receive,late,,conference,receive,last,,Cab,combine,disadvantaged
plane,,,,grass,recognize,latest,,confidence,recognize,late,,Cabin,comfort,disappointed
plant,,,,ground,recommend,lazy,,confirmation,recommend,latest,,Cabinet,command,disappointing
plate,,,,group,record,leading,,conflict,record,lazy,,Cable,commemorate,disastrous
player,,,,growth,reduce,left,,confusion,reduce,leading,,Cafe,commence,disciplined
point,,,,guard,refer,legal,,congress,refer,left,,Cage,commend,discrete
policeman,,,,guest,reflect,legendary,,connection,reflect,legal,,Cake,comment,discriminating
pool,,,,guide,refuse,leisure,,conscience,refuse,legendary,,Calculation,commission,disgusted
practice,,,,guitar,regard,level,,consciousness,regard,leisure,,Calendar,commit,disgusting
problem,,,,gun,register,light,,consequence,register,level,,Calf,communicate,dishonest
program,,,,guy,regret,likely,,conservation,regret,light,,Call,commute,disillusioned
project,,,,habit,relate,limited,,conservative,relate,likely,,Calling,compact,disinterested
question,,,,hall,relax,liquid,,consideration,relax,limited,,Calm,compare,dismal
radio,,,,hand,release,little,,consistency,release,liquid,,Camera,compel,distant
rain,,,,handle,remain,live,,constant,remain,little,,Camp,compensate,distinct
reading,,,,happiness,remember,lively,,constitution,remind,live,,Campaign,compete,distinctive
restaurant,,,,harbor,remind,local,,construction,remove,lively,,Campaigner,compile,distinguished
rice,,,,hardware,remove,logical,,consumer,rent,local,,Campus,complain,distracted
river,,,,hate,rent,lonely,,consumption,repair,logical,,Canal,complement,distressing
road,,,,headache,repair,long,,contact,repeat,lonely,,Cancellation,complete,distributed
room,,,,health,repeat,long-term,,container,replace,long,,Cancer,complicate,diverse
salt,,,,heat,replace,loose,,contemporary,reply,long-term,,Candidate,comply,divine
sandwich,,,,heating,reply,lost,,content,report,loose,,Candle,compose,dizzy
Saturday,,,,height,report,loud,,contest,represent,lost,,Candy,compound,domestic
school,,,,helicopter,represent,lovely,,context,request,loud,,Cane,comprehend,dominant
science,,,,help,request,low,,continent,require,lovely,,Cannabis,compress,dormant
sea,,,,hero,require,lower,,continuity,rescue,low,,Cannon,comprise,double
second,,,,hill,rescue,loyal,,contract,research,lower,,Canoe,compromise,doubtful
sentence,,,,hip,research,lucky,,contrast,reserve,loyal,,Canvas,compute,downcast
September,,,,history,reserve,luxury,,contribution,resign,lucky,,Canyon,conceal,dramatic
seven,,,,hit,resign,mad,,control,resist,luxury,,Cap,concede,drastic
seventeen,,,,hobby,resist,magic,,conversion,respect,mad,,Capability,conceive,dreaded
seventy,,,,hockey,respect,magical,,conviction,respond,magic,,Capacity,concentrate,dreamy
shirt,,,,hole,respond,main,,cook,rest,magical,,Cape,conceptualize,dreary
shoe,,,,holiday,rest,major,,cooker,restore,main,,Capital,concern,dried
shop,,,,home,result,male,,cooking,result,major,,Capitalism,conclude,driven
shopping,,,,hope,retire,managed,,copy,retire,male,,Captain,condemn,drowsy
shower,,,,horse,return,manual,,core,return,managed,,Caption,condense,drunk
sister,,,,hospital,reveal,manufacturing,,corner,reveal,manual,,Capture,condition,dry
six,,,,host,review,marine,,corporation,review,manufacturing,,Car,conduct,dual
sixteen,,,,hotel,revise,marked,,correction,revise,marine,,Carbon,confer,dubious
sixty,,,,hour,ride,married,,correlation,ride,marked,,Card,confess,due
skirt,,,,house,ring,massive,,cost,ring,married,,Care,confide,dull
sky,,,,housing,rise,master,,costume,rise,massive,,Career,confine,dumb
snow,,,,humor,risk,maximum,,cottage,risk,master,,Caregiver,confirm,durable
son,,,,hunger,rob,medical,,cotton,rob,maximum,,Cargo,confiscate,dynamic
soup,,,,hunting,roll,medium,,council,roll,medical,,Carnival,conflict,eager
south,,,,hurry,row,membership,,counsel,row,medium,,Carpenter,conform,early
sport,,,,husband,rule,mental,,count,rule,membership,,Carpet,confront,earnest
station,,,,ice,run,mere,,counter,rush,mental,,Carriage,confuse,easy
stop,,,,idea,rush,middle,,country,sail,mere,,Carrier,congratulate,eccentric
story,,,,identification,sail,mild,,countryside,satisfy,middle,,Carrot,congregate,ecclesiastical
street,,,,identity,satisfy,military,,county,save,mild,,Cart,connect,ecological
student,,,,image,save,minimum,,couple,scare,military,,Cartel,conquer,economic
study,,,,imagination,say,minor,,courage,schedule,minimum,,Cartoon,consent,economical
sugar,,,,impact,scare,miserable,,course,score,minor,,Cartridge,conserve,edgy
summer,,,,importance,schedule,missing,,court,scratch,miserable,,Carving,consider,editorial
sun,,,,impression,score,mixed,,cousin,scream,missing,,Case,consign,educated
Sunday,,,,inch,scratch,mobile,,cover,search,mixed,,Cash,consist,educational
supermarket,,,,individual,scream,modern,,coverage,seat,mobile,,Casino,consolidate,eerie
swimming,,,,industry,search,modest,,cow,secure,modern,,Cask,conspire,effective
table,,,,infection,seat,molecular,,crack,select,modest,,Casket,constitute,efficient
tablet,,,,inflation,see,monthly,,craft,separate,molecular,,Cassette,constrain,elaborate
tea,,,,influence,seem,moral,,crash,serve,monthly,,Cast,construct,elastic
teacher,,,,information,select,more,,creation,set,moral,,Caste,consult,elated
team,,,,injury,sell,most,,creative,settle,more,,Castle,consume,elderly
telephone,,,,insect,send,mountain,,creativity,shake,most,,Casualty,contact,elective
television,,,,inside,separate,multiple,,creator,shape,mountain,,Cat,contain,electrical
ten,,,,instance,serve,muscular,,creature,share,multiple,,Catalog,contaminate,electronic
tennis,,,,instrument,set,musical,,credit,shine,muscular,,Catalyst,contemplate,elegant
test,,,,insurance,settle,mysterious,,crew,shoot,musical,,Catastrophe,contend,elementary
text,,,,intelligence,shake,naked,,crime,shout,mysterious,,Category,contest,eligible
thing,,,,intention,shape,narrow,,criminal,shut,naked,,Catering,continue,eloquent
third,,,,interest,share,nasty,,crisis,sigh,narrow,,Cathedral,contract,elusive
thirteen,,,,interior,shine,national,,criterion,sign,nasty,,Catholic,contradict,embarrassed
thirty,,,,internal,shoot,native,,critic,signal,national,,Cattle,contrast,embarrassing
thousand,,,,internet,shop,natural,,criticism,sing,native,,Cause,contribute,embedded
three,,,,interview,shout,nearby,,crop,sink,natural,,Caution,control,emergent
Thursday,,,,introduction,show,neat,,cross,ski,nearby,,Cave,convene,eminent
ticket,,,,invention,shut,necessary,,crowd,slide,neat,,Cavity,converge,emotional
time,,,,inventor,sigh,negative,,crown,slip,necessary,,Ceasefire,converse,empirical
today,,,,investigation,sign,neighborly,,cruise,smell,negative,,Celebration,convert,empty
toilet,,,,investment,signal,nervous,,cry,smile,neighborly,,Celebrity,convey,enchanted
tomato,,,,invitation,sing,net,,crystal,smoke,nervous,,Cell,convict,encouraging
tooth,,,,iron,sink,neutral,,culture,solve,net,,Cellar,convince,endless
town,,,,island,sit,new,,cup,sound,neutral,,Cello,cook,energetic
train,,,,issue,ski,next,,curiosity,spare,new,,Cement,cool,enforced
transport,,,,item,sleep,nice,,currency,spell,next,,Cemetery,cooperate,engaged
tree,,,,jacket,slice,noble,,current,spend,nice,,Censor,coordinate,engaging
trip,,,,jail,slide,noisy,,curriculum,spill,noble,,Censorship,cope,enigmatic
trousers,,,,jam,slip,non-stop,,curtain,spin,noisy,,Census,copy,enjoyable
T-shirt,,,,jar,slow,normal,,custom,split,non-stop,,Center,corner,enormous
Tuesday,,,,jazz,smell,northern,,customer,spoil,normal,,Central,correct,enriched
TV,,,,jewelry,smile,notable,,cycle,spot,northern,,Century,correlate,enthusiastic
twelve,,,,job,smoke,noticeable,,cycling,spray,notable,,Ceremony,correspond,entire
twenty,,,,join,solve,nuclear,,dad,spread,noticeable,,Certainty,corrupt,environmental
two,,,,joke,sound,numerous,,damage,spring,nuclear,,Certificate,cost,envious
umbrella,,,,journal,spare,objective,,dance,stand,numerous,,Certification,cough,epidemic
uncle,,,,journalist,speak,obvious,,dancer,stare,objective,,Chain,counsel,equal
university,,,,journey,spell,occasional,,danger,state,obvious,,Chair,count,equivalent
vegetable,,,,joy,spend,occupied,,data,stay,occasional,,Chairman,counteract,erasable
village,,,,judge,spill,odd,,database,steal,occupied,,Chairperson,counterbalance,erotic
waiter,,,,judgment,spin,offensive,,date,steer,odd,,Championship,counter,erratic
waitress,,,,juice,split,official,,daughter,step,offensive,,Chancellor,couple,erroneous
wall,,,,jump,spoil,old-fashioned,,day,stick,official,,Chaos,court,essential
watch,,,,jungle,sport,online,,deadline,stir,old-fashioned,,Chapel,cover,established
water,,,,jury,spot,only,,deal,stop,online,,Chapter,crack,esteemed
way,,,,justice,spray,open,,dealer,store,only,,Character,cradle,eternal
weather,,,,kangaroo,spread,operational,,death,stretch,open,,Characteristic,craft,ethical
website,,,,keep,spring,opposite,,debate,strike,operational,,Charcoal,cram,ethnic
week,,,,key,stand,optimistic,,debt,struggle,opposite,,Charge,crash,evangelical
weekend,,,,keyboard,stare,orange,,decade,study,optimistic,,Charity,crawl,evasive
west,,,,kick,start,ordinary,,decision,succeed,orange,,Charm,create,even
white,,,,kid,state,organic,,declaration,suffer,ordinary,,Chart,credit,eventual
wife,,,,kilometer,stay,original,,decline,suggest,organic,,Charter,creep,everlasting
window,,,,kind,steal,other,,decoration,suit,original,,Chase,criticize,everyday
wine,,,,king,steer,outdoor,,decrease,supply,other,,Chassis,critique,evident
winter,,,,kiss,step,outer,,deep,support,outdoor,,Chat,cross,evil
woman,,,,kitchen,stick,outside,,defeat,suppose,outer,,Check,crouch,evolutionary
word,,,,knee,stir,outstanding,,defense,surprise,outside,,Checkout,crowd,exact
work,,,,knife,stop,overall,,deficit,surround,outstanding,,Cheek,crown,exaggerated
world,,,,knock,store,overseas,,definition,survive,overall,,Cheer,cruise,excellent
writing,,,,knowledge,stretch,overwhelming,,degree,suspect,overseas,,Cheese,crumble,exceptional
year,,,,lab,strike,own,,delay,swear,overwhelming,,Chef,crunch,excessive
yellow,,,,label,study,painful,,delegate,sweep,own,,Chemical,crush,excited
yesterday,,,,laboratory,succeed,pale,,delegation,swing,painful,,Chemist,cry,exciting
zero,,,,lady,suck,parallel,,delivery,switch,pale,,Chemistry,cultivate,exclusive
zoo,,,,lake,suffer,partial,,demand,target,parallel,,Chest,curb,executive
,,,,lamp,suggest,particular,,democracy,taste,partial,,Chicken,cure,exhausted
,,,,land,suit,part-time,,democrat,teach,particular,,Chief,curl,exhausting
,,,,landscape,supply,past,,demonstration,tear,part-time,,Child,curse,exhaustive
,,,,language,support,patient,,denial,tell,past,,Childhood,curtail,exotic
,,,,laptop,suppose,peaceful,,density,tend,patient,,Chill,curve,expansive
,,,,laugh,surprise,peculiar,,dentist,test,peaceful,,Chimney,cushion,expectant
,,,,laughter,surround,perfect,,department,thank,peculiar,,Chin,custom,expensive
,,,,law,survive,permanent,,departure,throw,perfect,,Chip,cut,experienced
,,,,lawyer,suspect,personal,,dependence,tidy,permanent,,Chocolate,cycle,experimental
,,,,layer,swear,physical,,deposit,tie,personal,,Choice,damage,expert
,,,,lead,sweep,pink,,depression,touch,physical,,Choir,dampen,explicit
,,,,leader,swim,plain,,depth,train,pink,,Cholesterol,dance,explosive
,,,,leaf,swing,plastic,,deputy,transfer,plain,,Chop,dare,exponential
,,,,league,switch,pleasant,,derivation,translate,plastic,,Chorus,darken,expressive
,,,,leather,take,pleased,,desert,transport,pleasant,,Christian,dart,exquisite
,,,,lecture,talk,pleasing,,design,travel,pleased,,Chronic,dash,extensive
,,,,left,taste,plenty,,designer,treat,pleasing,,Chronicle,date,external
,,,,leg,teach,pointed,,desire,trust,plenty,,Chunk,dawn,extinct
,,,,legend,tear,poisonous,,desk,try,pointed,,Church,dazzle,extra
,,,,lemon,tell,polite,,destination,turn,poisonous,,Cider,deal,extraordinary
,,,,length,tend,political,,destruction,type,polite,,Cigar,debate,extravagant
,,,,lens,test,poor,,detail,underline,political,,Cigarette,decay,extreme
,,,,lesson,thank,popular,,detective,understand,poor,,Cinema,deceive,exuberant
,,,,letter,think,positive,,determination,unite,popular,,Circle,decentralize,fabulous
,,,,level,throw,possible,,development,update,positive,,Circuit,decide,facial
,,,,library,tidy,potential,,device,upset,possible,,Circulation,decipher,factual
,,,,license,tie,powerful,,devil,use,potential,,Circumstance,deck,faded
,,,,lid,touch,practical,,diagnosis,value,powerful,,Citation,declare,faint
,,,,lie,train,precious,,diagram,vary,practical,,Citizen,decline,fair
,,,,life,transfer,precise,,dialogue,view,precious,,Citizenship,decode,faithful
,,,,lift,translate,predictable,,diamond,visit,precise,,City,decorate,fake
,,,,light,transport,preliminary,,diary,vote,predictable,,Civilization,decrease,FALSE
,,,,lighting,travel,prepared,,dictionary,wait,preliminary,,Claim,decree,familiar
,,,,limit,treat,present,,diet,wake,prepared,,Clan,dedicate,famous
,,,,line,trust,presidential,,difference,walk,present,,Clarity,deduce,fanatical
,,,,link,try,pretty,,difficulty,want,presidential,,Clash,deem,fancy
,,,,lion,turn,previous,,dig,warn,pretty,,Class,defeat,fantastic
,,,,lip,type,primary,,digital,wash,previous,,Classic,defend,far
,,,,liquid,understand,prime,,dimension,waste,primary,,Classification,defer,fascinating
,,,,list,unite,principal,,dinner,watch,prime,,Classroom,define,fashionable
,,,,literature,update,prior,,dinosaur,wave,principal,,Clause,deflect,fast
,,,,liter,upset,private,,dioxide,wear,prior,,Claw,deform,fatal
,,,,living,use,prize,,director,weigh,private,,Clay,defy,fatherly
,,,,load,value,professional,,dirt,welcome,prize,,Cleaner,delay,faulty
,,,,loan,vary,profitable,,disadvantage,win,professional,,Cleanup,delegate,favorable
,,,,local,view,progressive,,disagreement,wish,profitable,,Clearance,delete,favorite
,,,,location,visit,prominent,,disappointment,wonder,progressive,,Clergyman,deliberate,fearful
,,,,lock,vote,promising,,disaster,work,prominent,,Clerk,delight,fearless
,,,,log,wait,proper,,disc,worry,promising,,Click,deliver,feasible
,,,,logo,wake,protected,,discipline,wrap,proper,,Client,delude,federal
,,,,look,walk,proud,,discount,write,protected,,Cliff,demand,feeble
,,,,lord,want,psychological,,discovery,,proud,,Climate,demolish,feline
,,,,loss,warn,public,,discrimination,,psychological,,Climb,demonstrate,fellow
,,,,lot,wash,pure,,discussion,,public,,Clinic,denote,female
,,,,love,waste,purple,,disease,,pure,,Clip,denounce,feminine
,,,,lover,watch,puzzled,,dish,,purple,,Clock,deny,fertile
,,,,luck,wave,quaint,,disk,,puzzled,,Clone,depart,fervent
,,,,luggage,wear,qualified,,dislike,,quaint,,Closure,depend,festive
,,,,lunch,weigh,quality,,dismissal,,qualified,,Cloth,depict,feudal
,,,,lung,welcome,quick,,display,,quality,,Clothes,deploy,feverish
,,,,machine,win,quiet,,dispute,,quick,,Clothing,deposit,fictional
,,,,machinery,wish,racial,,distance,,quiet,,Cloud,depreciate,fierce
,,,,mad,wonder,radical,,distinction,,racial,,Club,depress,fiery
,,,,magazine,work,rainy,,distribution,,radical,,Clue,deprive,final
,,,,magic,worry,rapid,,district,,rainy,,Cluster,derive,financial
,,,,mail,wrap,rare,,disturbance,,rapid,,Clutch,descend,fine
,,,,main,write,raw,,diversity,,rare,,Coach,describe,finished
,,,,mall,,ready,,divide,,raw,,Coal,desert,firm
,,,,man,,real,,division,,ready,,Coalition,deserve,first
,,,,management,,realistic,,divorce,,real,,Coast,design,fiscal
,,,,manager,,rear,,doctor,,realistic,,Coastal,designate,fit
,,,,manner,,reasonable,,document,,rear,,Coat,desire,fixed
,,,,manufacturer,,recent,,dog,,reasonable,,Cocaine,despair,flamboyant
,,,,manufacturing,,recreational,,doll,,recent,,Cocktail,despise,flat
,,,,map,,red,,dollar,,recreational,,Code,detach,flattering
,,,,march,,redundant,,domain,,red,,Coffee,detail,flawless
,,,,mark,,regional,,domestic,,redundant,,Coffin,detain,fleet
,,,,market,,regular,,dominance,,regional,,Cognition,detect,flexible
,,,,marketing,,related,,donation,,regular,,Coherence,deteriorate,flimsy
,,,,marriage,,relative,,donor,,related,,Cohesion,determine,floral
,,,,mass,,relaxed,,door,,relative,,Coil,detest,fluid
,,,,master,,relaxing,,dose,,relaxed,,Coin,detour,focused
,,,,match,,reliable,,dot,,relaxing,,Coincidence,devastate,fond
,,,,mate,,relieved,,double,,reliable,,Cold,develop,foolish
,,,,material,,religious,,doubt,,relieved,,Collaboration,deviate,forbidden
,,,,mathematics,,reluctant,,download,,religious,,Collapse,device,forced
,,,,matter,,remarkable,,draft,,reluctant,,Colleague,devise,forceful
,,,,maximum,,remote,,drama,,remarkable,,Collection,devote,foreign
,,,,meal,,repeated,,drawer,,remote,,Collective,diagnose,forensic
,,,,meaning,,representative,,drawing,,repeated,,Collector,dial,forgetful
,,,,measure,,residential,,dream,,representative,,College,dictate,forgiving
,,,,measurement,,resigned,,dress,,residential,,Collision,differ,formal
,,,,meat,,respected,,drink,,resigned,,Colony,differentiate,former
,,,,mechanic,,responsible,,drive,,respected,,Color,diffuse,formidable
,,,,media,,resulting,,driver,,responsible,,Column,dig,forthcoming
,,,,medical,,retired,,driving,,resulting,,Columnist,digest,fortunate
,,,,medicine,,rich,,drop,,retired,,Combat,dignify,forward
,,,,medium,,ridiculous,,drought,,rich,,Combination,dilute,fossilized
,,,,meeting,,right,,drug,,ridiculous,,Comedy,diminish,foul
,,,,member,,rigid,,drum,,right,,Comfort,dine,foundational
,,,,membership,,ripe,,drunk,,rigid,,Comic,dip,fragile
,,,,memory,,rising,,duration,,ripe,,Command,direct,fragmentary
,,,,mention,,rival,,dust,,rising,,Commander,disable,frail
,,,,menu,,rocky,,duty,,rival,,Commemoration,disagree,frank
,,,,mess,,rough,,DVD,,rocky,,Commencement,disappear,frantic
,,,,message,,round,,dynamic,,rough,,Comment,disappoint,fraternal
,,,,metal,,routine,,ear,,round,,Commentary,disapprove,fraudulent
,,,,meter,,royal,,earnings,,routine,,Commentator,disarm,free
,,,,method,,rude,,earthquake,,royal,,Commerce,discard,frequent
,,,,middle,,ruined,,ease,,rude,,Commercial,discern,fresh
,,,,midnight,,rural,,east,,ruined,,Commission,discharge,friendly
,,,,might,,sacred,,echo,,rural,,Commissioner,discipline,frightened
,,,,mile,,sad,,ecology,,sacred,,Commitment,disclose,frightening
,,,,military,,safe,,economics,,sad,,Committee,disconnect,frigid
,,,,milk,,salty,,economist,,safe,,Commodity,discontinue,frivolous
,,,,mind,,same,,economy,,salty,,Common,discount,front
,,,,mine,,sandy,,edge,,same,,Commonwealth,discourage,frontal
,,,,mineral,,satisfied,,edition,,sandy,,Communication,discourse,frugal
,,,,minimum,,satisfying,,editor,,satisfied,,Communion,discover,fruitful
,,,,minister,,scared,,education,,satisfying,,Communism,discredit,frustrated
,,,,ministry,,scary,,effect,,scared,,Communist,discriminate,frustrating
,,,,minor,,scheduled,,efficiency,,scary,,Community,discuss,full
,,,,minority,,scientific,,effort,,scheduled,,Commuter,disdain,functional
,,,,minute,,seasonal,,egg,,scientific,,Compact,disease,fundamental
,,,,mirror,,secondary,,ego,,seasonal,,Companion,disfigure,funny
,,,,miss,,secret,,election,,secondary,,Company,disgrace,furious
,,,,missing,,secure,,electricity,,secret,,Comparison,disguise,furnished
,,,,mission,,select,,electronics,,secure,,Compartment,disgust,further
,,,,mistake,,senior,,element,,select,,Compass,dish,futile
,,,,mix,,sensible,,elevator,,senior,,Compassion,disintegrate,future
,,,,mixture,,sensitive,,elimination,,sensible,,Compatibility,dislike,fuzzy
,,,,mobile,,separate,,email,,sensitive,,Compensation,dislocate,gallant
,,,,model,,serious,,embarrassment,,separate,,Competence,dismiss,gaseous
,,,,modern,,settled,,embassy,,serious,,Competition,disobey,gaudy
,,,,mom,,several,,emergence,,settled,,Competitor,disorder,general
,,,,moment,,severe,,emergency,,several,,Compilation,displace,generic
,,,,money,,shallow,,emission,,severe,,Complaint,display,generous
,,,,monitor,,sharp,,emotion,,shallow,,Complement,dispose,genetic
,,,,monkey,,shiny,,emphasis,,sharp,,Completion,dispute,genial
,,,,month,,shocked,,empire,,shiny,,Complexity,disqualify,genius
,,,,mood,,shocking,,employee,,shocked,,Compliance,disregard,gentle
,,,,moon,,short,,employer,,shocking,,Complication,disrupt,genuine
,,,,morning,,short-term,,employment,,short,,Component,dissatisfy,geographical
,,,,mountain,,shut,,encounter,,short-term,,Composer,dissect,geometric
,,,,mouse,,shy,,encouragement,,shut,,Composite,dissent,ghostly
,,,,mouth,,sick,,end,,shy,,Composition,dissolve,giant
,,,,move,,significant,,endeavor,,sick,,Compound,distance,giddy
,,,,movement,,silent,,energy,,significant,,Comprehension,distil,gifted
,,,,movie,,silly,,enforcement,,silent,,Compromise,distinguish,gigantic
,,,,mud,,silver,,engagement,,silly,,Computation,distort,glad
,,,,murder,,similar,,engine,,silver,,Computer,distract,glamorous
,,,,muscle,,simple,,engineer,,similar,,Concealment,distress,glaring
,,,,museum,,sincere,,engineering,,simple,,Concept,distribute,glass
,,,,music,,single,,enjoyment,,sincere,,Conception,distrust,global
,,,,musical,,skilled,,enormous,,single,,Concern,disturb,gloomy
,,,,musician,,skinny,,enterprise,,skilled,,Concert,dive,glorious
,,,,mystery,,slight,,entertainment,,skinny,,Concession,divert,glossy
,,,,nail,,slim,,enthusiasm,,slight,,Conclusion,divide,glowing
,,,,name,,slippery,,enthusiast,,slim,,Concrete,divine,golden
,,,,narrative,,slow,,entire,,slippery,,Condition,divorce,good
,,,,nation,,small,,entity,,slow,,Conduct,dock,gorgeous
,,,,national,,smart,,entrance,,small,,Conductor,document,gothic
,,,,nationality,,smooth,,entrepreneur,,smart,,Conference,dominate,gradual
,,,,nature,,soft,,entry,,smooth,,Confession,donate,grammatical
,,,,navy,,solar,,envelope,,soft,,Confidence,doom,grand
,,,,neck,,sole,,environment,,solar,,Configuration,dot,graphic
,,,,need,,solid,,epidemic,,sole,,Confinement,double,grateful
,,,,needle,,some,,episode,,solid,,Confirmation,doubt,gratuitous
,,,,neighborhood,,sophisticated,,equality,,some,,Conflict,download,grave
,,,,neighbor,,sore,,equation,,sophisticated,,Conformity,draft,greasy
,,,,nerve,,sorry,,equipment,,sore,,Confrontation,drag,great
,,,,net,,southern,,era,,sorry,,Confusion,drain,greedy
,,,,network,,spare,,error,,southern,,Congestion,dramatize,green
,,,,news,,special,,escape,,spare,,Congregation,draw,grey
,,,,newspaper,,specific,,essay,,special,,Congress,dread,grim
,,,,night,,spectacular,,essence,,specific,,Congressman,dream,gritty
,,,,nightmare,,spiritual,,establishment,,spectacular,,Conjunction,dress,gross
,,,,noise,,splendid,,estate,,spiritual,,Connection,drift,grotesque
,,,,none,,spoken,,estimate,,splendid,,Connoisseur,drill,groundless
,,,,noon,,spontaneous,,estimation,,spoken,,Conscience,drink,growing
,,,,north,,sporting,,ethic,,spontaneous,,Consciousness,drip,grumpy
,,,,northern,,square,,ethics,,sporting,,Consensus,drive,guaranteed
,,,,nose,,stable,,evaluation,,square,,Consent,drop,guarded
,,,,note,,standard,,evening,,stable,,Consequence,drown,guilty
,,,,notebook,,steady,,event,,standard,,Conservation,drum,habitual
,,,,nothing,,steep,,evidence,,steady,,Conservationist,dry,half
,,,,notice,,sticky,,evil,,steep,,Conservative,dub,handsome
,,,,novel,,stiff,,evolution,,sticky,,Conserve,duck,handy
,,,,novelist,,still,,examination,,stiff,,Consideration,dump,happy
,,,,number,,stormy,,example,,still,,Consistency,duplicate,hard
,,,,nurse,,straight,,exception,,stormy,,Consolidation,dust,harmful
,,,,nut,,straightforward,,excess,,straight,,Consonant,dwell,harmless
,,,,object,,strange,,exchange,,straightforward,,Consortium,dye,harmonic
,,,,objective,,strategic,,excitement,,strange,,Conspiracy,earn,harsh
,,,,observation,,stressed,,exclusion,,strategic,,Constable,ease,hasty
,,,,ocean,,stressful,,excuse,,stressed,,Constant,eat,hateful
,,,,offer,,strict,,execution,,stressful,,Constituency,echo,hazy
,,,,office,,striking,,executive,,strict,,Constituent,eclipse,head
,,,,officer,,strong,,exercise1,,striking,,Constitution,economize,healthy
,,,,official,,structural,,exhibition2,,strong,,Constraint,edge,heartbreaking
,,,,oil,,stubborn,,exile3,,structural,,Construction,edit,heartfelt
,,,,olympics,,stuck,,existence4,,stubborn,,Consultancy,educate,hearty
,,,,onion,,stupid,,exit5,,stuck,,Consultant,effect,heated
,,,,opening,,stylish,,expansion6,,stupid,,Consultation,elaborate,heavenly
,,,,opera,,subjective,,expectation7,,stylish,,Consumer,elbow,heavy
,,,,operation,,subsequent,,expedition8,,subjective,,Consumption,elect,hectic
,,,,opinion,,substantial,,expenditure9,,subsequent,,Contact,electrify,heroic
,,,,opponent,,subtle,,expense10,,substantial,,Container,elevate,hesitant
,,,,opportunity,,successful,,experience11,,subtle,,Contamination,eliminate,hidden
,,,,orange,,sudden,,experiment12,,successful,,Contemplation,email,high
,,,,order,,sufficient,,expert13,,sudden,,Contemporary,embark,hilarious
,,,,organization,,suitable,,expertise14,,sufficient,,Contempt,embarrass,historic
,,,,organizer,,sunny,,explanation15,,suitable,,Contender,embody,historical
,,,,original,,super,,exploitation16,,sunny,,Content,embrace,hollow
,,,,other,,superb,,exploration17,,super,,Contention,emerge,holy
,,,,oven,,superior,,explosion18,,superb,,Contest,emphasize,home
,,,,owner,,supportive,,export19,,superior,,Contestant,employ,homeless
,,,,oxygen,,sure,,exposure20,,supportive,,Context,empower,homely
,,,,pack,,surprised,,expression21,,sure,,Continent,empty,honest
,,,,package,,surprising,,extension22,,surprised,,Contingency,emulate,honorable
,,,,packet,,suspicious,,extent23,,surprising,,Continuity,enable,hopeful
,,,,page,,sweet,,e24xternal,,suspicious,,Contract,enact,hopeless
,,,,pain,,sympathetic,,extraction,,sweet,,Contractor,encircle,horizontal
,,,,paint,,systematic,,extreme,,sympathetic,,Contradiction,enclose,horrible
,,,,painter,,tall,,eye,,systematic,,Contrast,encounter,horrid
,,,,painting,,tame,,fabric,,tall,,Contribution,encourage,horrific
,,,,pair,,targeted,,face,,tame,,Contributor,encroach,hospitable
,,,,palace,,technical,,facility,,targeted,,Control,endanger,hostile
